Aikaleima,Pätötehotila,Tuotanto(kWh)
21.5.2024 0:00,0,0
21.5.2024 0:15,0,0
21.5.2024 0:30,0,0
21.5.2024 0:45,0,0
21.5.2024 1:00,255,0
21.5.2024 1:15,255,0
21.5.2024 1:30,255,0
21.5.2024 1:45,255,0
21.5.2024 2:00,255,0
21.5.2024 2:15,255,0
21.5.2024 2:30,255,0
21.5.2024 2:45,255,0
21.5.2024 3:00,255,0
21.5.2024 3:15,255,0
21.5.2024 3:30,255,0
21.5.2024 3:45,255,0
21.5.2024 4:00,255,0
21.5.2024 4:15,255,0
21.5.2024 4:30,255,0.096
21.5.2024 4:45,255,0.672
21.5.2024 5:00,255,1.44
21.5.2024 5:15,255,2.144
21.5.2024 5:30,255,2.848
21.5.2024 5:45,255,3.52
21.5.2024 6:00,255,4.032
21.5.2024 6:15,255,4.416
21.5.2024 6:30,255,5.152
21.5.2024 6:45,255,7.232
21.5.2024 7:00,255,11.744
21.5.2024 7:15,255,18.4
21.5.2024 7:30,255,26.528
21.5.2024 7:45,255,35.872
21.5.2024 8:00,255,44.96
21.5.2024 8:15,255,54.688
21.5.2024 8:30,255,64
21.5.2024 8:45,255,72.96
21.5.2024 9:00,255,81.312
21.5.2024 9:15,255,88.96
21.5.2024 9:30,255,96
21.5.2024 9:45,255,103.552
21.5.2024 10:00,255,110.176
21.5.2024 10:15,255,116.416
21.5.2024 10:30,255,121.824
21.5.2024 10:45,255,126.88
21.5.2024 11:00,255,131.68
21.5.2024 11:15,255,135.744
21.5.2024 11:30,255,138.752
21.5.2024 11:45,255,141.216
21.5.2024 12:00,255,143.296
21.5.2024 12:15,255,144.384
21.5.2024 12:30,255,146.208
21.5.2024 12:45,255,147.2
21.5.2024 13:00,255,146.304
21.5.2024 13:15,255,146.752
21.5.2024 13:30,255,146.016
21.5.2024 13:45,255,143.904
21.5.2024 14:00,255,142.112
21.5.2024 14:15,255,141.056
21.5.2024 14:30,255,138.336
21.5.2024 14:45,255,134.816
21.5.2024 15:00,255,132.16
21.5.2024 15:15,255,127.68
21.5.2024 15:30,255,122.528
21.5.2024 15:45,255,117.152
21.5.2024 16:00,255,112.576
21.5.2024 16:15,255,106.656
21.5.2024 16:30,255,99.744
21.5.2024 16:45,255,93.472
21.5.2024 17:00,255,86.432
21.5.2024 17:15,255,79.2
21.5.2024 17:30,255,69.536
21.5.2024 17:45,255,62.368
21.5.2024 18:00,255,53.568
21.5.2024 18:15,255,44.672
21.5.2024 18:30,255,35.584
21.5.2024 18:45,255,26.72
21.5.2024 19:00,255,18.656
21.5.2024 19:15,255,12.256
21.5.2024 19:30,255,7.52
21.5.2024 19:45,255,5.472
21.5.2024 20:00,255,4.96
21.5.2024 20:15,255,4.448
21.5.2024 20:30,255,3.936
21.5.2024 20:45,255,3.616
21.5.2024 21:00,255,3.008
21.5.2024 21:15,255,2.336
21.5.2024 21:30,255,1.536
21.5.2024 21:45,255,0.8
21.5.2024 22:00,255,0.288
21.5.2024 22:15,255,0
21.5.2024 22:30,255,0
21.5.2024 22:45,255,0
21.5.2024 23:00,255,0
21.5.2024 23:15,255,0
21.5.2024 23:30,255,0
21.5.2024 23:45,255,0
22.5.2024 0:00,0,0
22.5.2024 0:15,0,0
22.5.2024 0:30,0,0
22.5.2024 0:45,0,0
22.5.2024 1:00,255,0
22.5.2024 1:15,255,0
22.5.2024 1:30,255,0
22.5.2024 1:45,255,0
22.5.2024 2:00,255,0
22.5.2024 2:15,255,0
22.5.2024 2:30,255,0
22.5.2024 2:45,255,0
22.5.2024 3:00,255,0
22.5.2024 3:15,255,0
22.5.2024 3:30,255,0
22.5.2024 3:45,255,0
22.5.2024 4:00,255,0
22.5.2024 4:15,255,0
22.5.2024 4:30,255,0.192
22.5.2024 4:45,255,0.8
22.5.2024 5:00,255,1.472
22.5.2024 5:15,255,2.208
22.5.2024 5:30,255,2.912
22.5.2024 5:45,255,3.488
22.5.2024 6:00,255,4.064
22.5.2024 6:15,255,4.64
22.5.2024 6:30,255,5.312
22.5.2024 6:45,255,7.488
22.5.2024 7:00,255,11.872
22.5.2024 7:15,255,18.016
22.5.2024 7:30,255,25.696
22.5.2024 7:45,255,34.496
22.5.2024 8:00,255,43.008
22.5.2024 8:15,255,52.16
22.5.2024 8:30,255,60.96
22.5.2024 8:45,255,69.44
22.5.2024 9:00,255,77.44
22.5.2024 9:15,255,85.088
22.5.2024 9:30,255,92.128
22.5.2024 9:45,255,99.232
22.5.2024 10:00,255,105.376
22.5.2024 10:15,255,111.648
22.5.2024 10:30,255,116.992
22.5.2024 10:45,255,121.504
22.5.2024 11:00,255,126.112
22.5.2024 11:15,255,129.472
22.5.2024 11:30,255,132.672
22.5.2024 11:45,255,135.808
22.5.2024 12:00,255,138.144
22.5.2024 12:15,255,139.584
22.5.2024 12:30,255,140.48
22.5.2024 12:45,255,142.112
22.5.2024 13:00,255,141.952
22.5.2024 13:15,255,140.736
22.5.2024 13:30,255,139.968
22.5.2024 13:45,255,137.888
22.5.2024 14:00,255,138.112
22.5.2024 14:15,255,134.816
22.5.2024 14:30,255,132.896
22.5.2024 14:45,255,130.176
22.5.2024 15:00,255,126.432
22.5.2024 15:15,255,123.2
22.5.2024 15:30,255,119.232
22.5.2024 15:45,255,114.144
22.5.2024 16:00,255,109.568
22.5.2024 16:15,255,103.712
22.5.2024 16:30,255,97.248
22.5.2024 16:45,255,91.168
22.5.2024 17:00,255,84.032
22.5.2024 17:15,255,76.352
22.5.2024 17:30,255,68.416
22.5.2024 17:45,255,60.192
22.5.2024 18:00,255,51.712
22.5.2024 18:15,255,42.368
22.5.2024 18:30,255,34.336
22.5.2024 18:45,255,26.56
22.5.2024 19:00,255,18.816
22.5.2024 19:15,255,12.544
22.5.2024 19:30,255,8.064
22.5.2024 19:45,255,5.824
22.5.2024 20:00,255,5.216
22.5.2024 20:15,255,4.672
