Päivämäärä;Arvioitu tuotanto (kW);Tuotanto (kW);Korreloitu tuotanto (kW)
5/21/2024 0:00;0;0;0
5/21/2024 0:15;0;0;0
5/21/2024 0:30;0;0;0
5/21/2024 0:45;0;0;0
5/21/2024 1:00;0;0;0
5/21/2024 1:15;0;0;0
5/21/2024 1:30;0;0;0
5/21/2024 1:45;0;0;0
5/21/2024 2:00;0;0;0
5/21/2024 2:15;0;0;0
5/21/2024 2:30;0;0;0
5/21/2024 2:45;0;0;0
5/21/2024 3:00;0;0;0
5/21/2024 3:15;0;0;0
5/21/2024 3:30;0;0;0
5/21/2024 3:45;0;0;0
5/21/2024 4:00;-6.41E-05;0;-5.63E-05
5/21/2024 4:15;0.0042048;0;0.003692671
5/21/2024 4:30;0.069341159;0.384;0.060895663
5/21/2024 4:45;0.361101447;2.688;0.317120631
5/21/2024 5:00;0.894607827;5.76;0.785647912
5/21/2024 5:15;1.860732307;8.576;1.634102015
5/21/2024 5:30;3.229243038;11.392;2.835933215
5/21/2024 5:45;4.40099386;14.08;3.864969134
5/21/2024 6:00;5.7597208;16.128;5.058208173
5/21/2024 6:15;7.818821088;17.664;6.866517684
5/21/2024 6:30;9.142803487;20.608;8.029243939
5/21/2024 6:45;14.35905273;28.928;12.61017338
5/21/2024 7:00;37.14106703;46.976;32.61742284
5/21/2024 7:15;75.84389513;73.6;66.60639006
5/21/2024 7:30;109.3976534;106.112;96.07342505
5/21/2024 7:45;148.5047021;143.488;130.4173803
5/21/2024 8:00;188.493157;179.84;165.5353897
5/21/2024 8:15;229.1451893;218.752;201.2361553
5/21/2024 8:30;271.9475373;256;238.8253361
5/21/2024 8:45;312.8221812;291.84;274.7216
5/21/2024 9:00;352.6323603;325.248;309.683047
5/21/2024 9:15;391.8207835;355.84;344.0984656
5/21/2024 9:30;429.58855;384;377.2662583
5/21/2024 9:45;463.801836;414.208;407.3124929
5/21/2024 10:00;497.9302123;440.704;437.2841596
5/21/2024 10:15;530.3445758;465.664;465.7505738
5/21/2024 10:30;560.5437115;487.296;492.2715669
5/21/2024 10:45;583.2521777;507.52;512.2142261
5/21/2024 11:00;609.120392;526.72;534.9317879
5/21/2024 11:15;629.3032202;542.976;552.6564225
5/21/2024 11:30;647.9232736;555.008;569.0086225
5/21/2024 11:45;666.1830008;564.864;585.0443826
5/21/2024 12:00;677.8723138;573.184;595.3099807
5/21/2024 12:15;689.1957779;577.536;605.2542888
5/21/2024 12:30;695.1118195;584.832;610.4497785
5/21/2024 12:45;698.7613349;588.8;613.6547965
5/21/2024 13:00;703.9501153;585.216;618.2116026
5/21/2024 13:15;701.804681;587.008;616.3274743
5/21/2024 13:30;702.4041053;584.064;616.853891
5/21/2024 13:45;688.3986147;575.616;604.5542172
5/21/2024 14:00;686.1613488;568.448;602.589442
5/21/2024 14:15;669.8849038;564.224;588.2954076
5/21/2024 14:30;656.7099981;553.344;576.7251565
5/21/2024 14:45;644.0541443;539.264;565.6107388
5/21/2024 15:00;619.1765994;528.64;543.7631865
5/21/2024 15:15;602.8318926;510.72;529.4092043
5/21/2024 15:30;579.6299482;490.112;509.0331708
5/21/2024 15:45;538.8310866;468.608;473.2034591
5/21/2024 16:00;516.9939582;450.304;454.0260119
5/21/2024 16:15;482.9101518;426.624;424.0934868
5/21/2024 16:30;449.6115;398.976;394.8504872
5/21/2024 16:45;419.7536521;373.888;368.6292145
5/21/2024 17:00;372.2331554;345.728;326.896538
5/21/2024 17:15;341.2110008;316.8;299.6527666
5/21/2024 17:30;300.5039664;278.144;263.903698
5/21/2024 17:45;255.9998197;249.472;224.8199913
5/21/2024 18:00;216.6408272;214.272;190.2547781
5/21/2024 18:15;176.1472276;178.688;154.6931487
5/21/2024 18:30;135.9480704;142.336;119.3900998
5/21/2024 18:45;97.42983041;106.88;85.5632385
5/21/2024 19:00;65.87082745;74.624;57.84800502
5/21/2024 19:15;27.77013434;49.024;24.38783499
5/21/2024 19:30;12.37347656;30.08;10.86643302
5/21/2024 19:45;10.08994976;21.888;8.861031312
5/21/2024 20:00;8.522228075;19.84;7.48425231
5/21/2024 20:15;7.605325955;17.792;6.679025467
5/21/2024 20:30;6.29091676;15.744;5.524706436
5/21/2024 20:45;4.807029131;14.464;4.221550816
5/21/2024 21:00;3.744033836;12.032;3.288024404
5/21/2024 21:15;2.645933094;9.344;2.323668259
5/21/2024 21:30;1.568124747;6.144;1.37713297
5/21/2024 21:45;0.933068866;3.2;0.819424539
5/21/2024 22:00;0.357728205;1.152;0.314158237
5/21/2024 22:15;0.071705395;0;0.062971944
5/21/2024 22:30;0.007092236;0;0.006228428
5/21/2024 22:45;0;0;0
5/21/2024 23:00;0;0;0
5/21/2024 23:15;0;0;0
5/21/2024 23:30;0;0;0
5/21/2024 23:45;0;0;0
5/22/2024 0:00;0;0;0
5/22/2024 0:15;0;0;0
5/22/2024 0:30;0;0;0
5/22/2024 0:45;0;0;0
5/22/2024 1:00;0;0;0
5/22/2024 1:15;0;0;0
5/22/2024 1:30;0;0;0
5/22/2024 1:45;0;0;0
5/22/2024 2:00;0;0;0
5/22/2024 2:15;0;0;0
5/22/2024 2:30;0;0;0
5/22/2024 2:45;0;0;0
5/22/2024 3:00;0;0;0
5/22/2024 3:15;0;0;0
5/22/2024 3:30;0;0;0
5/22/2024 3:45;0;0;0
5/22/2024 4:00;0.000153281;0;0.000134612
5/22/2024 4:15;0.010457964;0;0.009184223
5/22/2024 4:30;0.104060948;0.768;0.091386711
5/22/2024 4:45;0.397925821;3.2;0.349459933
5/22/2024 5:00;0.966218998;5.888;0.848537109
5/22/2024 5:15;1.822127739;8.832;1.60019934
5/22/2024 5:30;2.897085709;11.648;2.544231417
5/22/2024 5:45;4.40299554;13.952;3.866727017
5/22/2024 6:00;6.010450283;16.256;5.278399736
5/22/2024 6:15;7.415540083;18.56;6.51235481
5/22/2024 6:30;8.968089836;21.248;7.875809762
