Timestamp;'Global radiation';'Direct solar radiation';'Reflected radiation';'Diffuse radiation';Air temperature
12.05.2024 00:00;0.0;0.0;0.0;0.0;5.8
12.05.2024 00:15;0.0;0.0;0.0;0.0;5.8
12.05.2024 00:30;0.0;0.0;0.0;0.0;5.8
12.05.2024 00:45;0.0;0.0;0.0;0.0;5.8
12.05.2024 01:00;0.0;0.0;0.0;0.0;4.5
12.05.2024 01:15;0.0;0.0;0.0;0.0;4.5
12.05.2024 01:30;0.0;0.0;0.0;0.0;4.5
12.05.2024 01:45;0.0;0.0;0.0;0.3;4.5
12.05.2024 02:00;0.0;0.0;0.0;0.0;2.6
12.05.2024 02:15;0.0;0.0;0.0;0.4;2.6
12.05.2024 02:30;0.0;0.0;0.0;0.0;2.6
12.05.2024 02:45;0.0;0.0;0.0;0.2;2.6
12.05.2024 03:00;0.0;0.9;0.0;0.0;1.2
12.05.2024 03:15;0.0;0.0;0.0;0.0;1.2
12.05.2024 03:30;0.0;0.0;0.0;0.0;1.2
12.05.2024 03:45;0.0;0.0;0.0;0.2;1.2
12.05.2024 04:00;0.0;0.0;0.0;0.0;-0.2
12.05.2024 04:15;0.0;0.0;0.0;0.9;-0.2
12.05.2024 04:30;0.0;0.0;0.0;1.3;-0.2
12.05.2024 04:45;1.6;0.0;0.0;3.9;-0.2
12.05.2024 05:00;6.2;0.2;0.5;7.5;-1.0
12.05.2024 05:15;15.7;61.5;1.1;11.9;-1.0
12.05.2024 05:30;30.0;23.5;8.6;22.5;-1.0
12.05.2024 05:45;24.7;3.8;4.2;28.1;-1.0
12.05.2024 06:00;25.0;1.1;3.1;27.5;-1.0
12.05.2024 06:15;32.3;9.1;5.2;35.0;-1.0
12.05.2024 06:30;84.2;186.5;15.8;46.3;-1.0
12.05.2024 06:45;139.3;543.4;40.1;60.1;-1.0
12.05.2024 07:00;99.3;90.0;22.9;82.9;1.4
12.05.2024 07:15;109.7;21.8;25.2;114.9;1.4
12.05.2024 07:30;140.1;13.1;32.1;146.7;1.4
12.05.2024 07:45;165.9;13.5;38.0;173.9;1.4
12.05.2024 08:00;216.1;36.0;50.1;211.9;3.9
12.05.2024 08:15;371.3;425.4;83.1;152.9;3.9
12.05.2024 08:30;447.7;826.8;112.4;123.0;3.9
12.05.2024 08:45;259.1;27.1;59.6;261.7;3.9
12.05.2024 09:00;345.7;210.2;87.4;285.5;7.5
12.05.2024 09:15;379.5;109.0;84.1;325.0;7.5
12.05.2024 09:30;377.7;145.1;87.9;310.1;7.5
12.05.2024 09:45;554.2;690.1;129.7;171.6;7.5
12.05.2024 10:00;588.5;760.2;137.7;153.4;9.7
12.05.2024 10:15;366.5;118.6;84.2;317.5;9.7
12.05.2024 10:30;322.9;4.3;72.3;332.9;9.7
12.05.2024 10:45;339.6;8.5;75.7;348.7;9.7
12.05.2024 11:00;338.9;7.2;73.9;350.0;10.2
12.05.2024 11:15;455.5;12.6;103.1;473.2;10.2
12.05.2024 11:30;321.5;6.6;71.6;341.9;10.2
12.05.2024 11:45;484.1;60.0;114.9;445.9;10.2
12.05.2024 12:00;376.9;12.1;85.1;392.7;11.4
12.05.2024 12:15;259.6;2.0;56.6;272.8;11.4
12.05.2024 12:30;212.4;5.6;46.0;221.8;11.4
12.05.2024 12:45;299.7;8.1;63.7;307.2;11.4
12.05.2024 13:00;375.6;12.4;80.3;382.8;11.9
12.05.2024 13:15;460.9;38.5;101.3;461.9;11.9
12.05.2024 13:30;610.2;143.3;128.8;448.3;11.9
12.05.2024 13:45;425.7;17.7;96.2;448.2;11.9
12.05.2024 14:00;392.7;11.7;85.6;412.1;13.4
12.05.2024 14:15;353.8;9.9;78.2;375.3;13.4
12.05.2024 14:30;464.2;26.3;93.4;444.4;13.4
12.05.2024 14:45;494.6;83.0;106.6;457.5;13.4
12.05.2024 15:00;573.4;186.6;119.6;459.6;14.0
12.05.2024 15:15;515.5;91.6;110.8;468.6;14.0
12.05.2024 15:30;503.6;209.5;114.5;413.1;14.0
12.05.2024 15:45;347.1;1.9;75.4;360.1;14.0
12.05.2024 16:00;229.3;0.0;50.0;243.5;14.4
12.05.2024 16:15;184.9;0.0;38.5;193.1;14.4
12.05.2024 16:30;203.1;2.3;42.5;213.0;14.4
12.05.2024 16:45;255.1;2.5;55.6;273.0;14.4
12.05.2024 17:00;179.5;0.0;38.2;190.6;14.1
12.05.2024 17:15;158.0;1.1;34.8;167.2;14.1
12.05.2024 17:30;132.9;0.0;27.9;138.5;14.1
12.05.2024 17:45;158.0;1.2;33.4;168.9;14.1
12.05.2024 18:00;93.8;0.0;19.4;101.6;13.2
12.05.2024 18:15;48.1;0.0;9.9;52.5;13.2
12.05.2024 18:30;57.5;0.8;11.1;61.0;13.2
12.05.2024 18:45;32.3;1.3;6.2;36.6;13.2
12.05.2024 19:00;45.8;0.8;8.7;48.3;12.2
12.05.2024 19:15;23.6;0.0;4.4;27.1;12.2
12.05.2024 19:30;18.7;0.4;3.8;21.4;12.2
12.05.2024 19:45;13.8;0.0;1.5;16.6;12.2
12.05.2024 20:00;6.3;0.0;1.0;10.4;11.3
12.05.2024 20:15;8.4;0.0;0.8;10.5;11.3
12.05.2024 20:30;7.0;0.0;0.9;9.7;11.3
12.05.2024 20:45;3.5;0.0;0.1;5.9;11.3
12.05.2024 21:00;1.5;0.0;0.0;3.1;10.8
12.05.2024 21:15;0.9;0.0;0.0;2.9;10.8
12.05.2024 21:30;0.0;0.0;0.0;1.9;10.8
12.05.2024 21:45;0.0;0.0;0.0;0.3;10.8
12.05.2024 22:00;0.0;0.0;0.0;0.1;10.1
12.05.2024 22:15;0.0;0.0;0.0;1.1;10.1
12.05.2024 22:30;0.0;0.1;0.0;0.5;10.1
12.05.2024 22:45;0.0;2.0;0.0;0.5;10.1
12.05.2024 23:00;0.0;1.1;0.0;2.0;10.5
12.05.2024 23:15;0.0;0.7;0.0;0.7;10.5
12.05.2024 23:30;0.0;0.9;0.0;0.9;10.5
12.05.2024 23:45;0.0;0.0;0.0;0.1;10.5
13.05.2024 00:00;0.0;0.0;0.0;0.0;10.3
13.05.2024 00:15;0.0;0.7;0.0;0.9;10.3
13.05.2024 00:30;0.0;0.3;0.0;0.9;10.3
13.05.2024 00:45;0.0;0.0;0.0;0.5;10.3
13.05.2024 01:00;0.0;0.0;0.0;0.0;9.2
13.05.2024 01:15;0.0;0.0;0.0;1.3;9.2
13.05.2024 01:30;0.0;0.0;0.0;0.0;9.2
13.05.2024 01:45;0.0;0.0;0.0;0.0;9.2
13.05.2024 02:00;0.0;0.0;0.0;0.2;8.4
13.05.2024 02:15;0.0;0.0;0.0;0.7;8.4
13.05.2024 02:30;0.0;0.9;0.0;1.2;8.4
13.05.2024 02:45;0.0;0.1;0.0;0.4;8.4
13.05.2024 03:00;0.0;0.0;0.0;1.2;8.5
13.05.2024 03:15;0.0;0.2;0.0;0.9;8.5
13.05.2024 03:30;0.0;0.5;0.0;0.8;8.5
13.05.2024 03:45;0.0;0.1;0.0;1.0;8.5
