Time: 2024-05-11 21:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 249.8, 'Long wave outgoing solar radiation': 322.2, 'Global radiation': -2.8, 'Direct solar radiation': -3.4, 'Reflected radiation': -1.8, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 21:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 249.2, 'Long wave outgoing solar radiation': 317.8, 'Global radiation': -2.8, 'Direct solar radiation': -3.0, 'Reflected radiation': -1.4, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.6, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 21:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 247.7, 'Long wave outgoing solar radiation': 311.3, 'Global radiation': -2.2, 'Direct solar radiation': -0.7, 'Reflected radiation': -2.2, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 21:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 246.3, 'Long wave outgoing solar radiation': 306.7, 'Global radiation': -2.5, 'Direct solar radiation': -1.0, 'Reflected radiation': -2.1, 'Sunshine duration': 0.0, 'Diffuse radiation': -1.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 22:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 246.0, 'Long wave outgoing solar radiation': 308.9, 'Global radiation': -2.7, 'Direct solar radiation': -3.0, 'Reflected radiation': -1.8, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.4, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 22:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 245.1, 'Long wave outgoing solar radiation': 303.6, 'Global radiation': -2.8, 'Direct solar radiation': -3.7, 'Reflected radiation': -1.6, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.2, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 22:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 244.3, 'Long wave outgoing solar radiation': 302.7, 'Global radiation': -2.6, 'Direct solar radiation': -2.4, 'Reflected radiation': -1.9, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.3, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 22:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 243.6, 'Long wave outgoing solar radiation': 299.1, 'Global radiation': -2.7, 'Direct solar radiation': -3.9, 'Reflected radiation': -2.1, 'Sunshine duration': 0.0, 'Diffuse radiation': 0.3, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 23:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 243.2, 'Long wave outgoing solar radiation': 297.9, 'Global radiation': -2.6, 'Direct solar radiation': -2.5, 'Reflected radiation': -2.1, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.2, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 23:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 242.8, 'Long wave outgoing solar radiation': 298.3, 'Global radiation': -2.7, 'Direct solar radiation': -3.1, 'Reflected radiation': -2.0, 'Sunshine duration': 0.0, 'Diffuse radiation': 0.4, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 23:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 241.5, 'Long wave outgoing solar radiation': 292.4, 'Global radiation': -2.6, 'Direct solar radiation': -2.5, 'Reflected radiation': -2.6, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-11 23:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 240.5, 'Long wave outgoing solar radiation': 290.8, 'Global radiation': -2.4, 'Direct solar radiation': -1.0, 'Reflected radiation': -1.9, 'Sunshine duration': 0.0, 'Diffuse radiation': 0.2, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 00:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 241.5, 'Long wave outgoing solar radiation': 291.7, 'Global radiation': -2.5, 'Direct solar radiation': 0.9, 'Reflected radiation': -1.2, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 00:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 239.9, 'Long wave outgoing solar radiation': 289.1, 'Global radiation': -2.5, 'Direct solar radiation': -0.3, 'Reflected radiation': -2.3, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.2, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 00:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 239.5, 'Long wave outgoing solar radiation': 288.6, 'Global radiation': -2.6, 'Direct solar radiation': -1.0, 'Reflected radiation': -2.4, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.4, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 00:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 239.6, 'Long wave outgoing solar radiation': 288.7, 'Global radiation': -2.6, 'Direct solar radiation': -0.3, 'Reflected radiation': -1.3, 'Sunshine duration': 0.0, 'Diffuse radiation': 0.2, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 01:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 238.9, 'Long wave outgoing solar radiation': 287.8, 'Global radiation': -2.1, 'Direct solar radiation': -0.9, 'Reflected radiation': -2.1, 'Sunshine duration': 0.0, 'Diffuse radiation': -0.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 01:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 238.9, 'Long wave outgoing solar radiation': 287.1, 'Global radiation': -2.0, 'Direct solar radiation': -2.5, 'Reflected radiation': -2.7, 'Sunshine duration': 0.0, 'Diffuse radiation': 0.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 01:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 237.7, 'Long wave outgoing solar radiation': 285.8, 'Global radiation': -0.6, 'Direct solar radiation': -0.5, 'Reflected radiation': -2.0, 'Sunshine duration': 0.0, 'Diffuse radiation': 1.3, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 01:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 238.2, 'Long wave outgoing solar radiation': 286.7, 'Global radiation': 1.6, 'Direct solar radiation': -0.6, 'Reflected radiation': -0.8, 'Sunshine duration': 0.0, 'Diffuse radiation': 3.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
Time: 2024-05-12 02:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 238.9, 'Long wave outgoing solar radiation': 290.2, 'Global radiation': 6.2, 'Direct solar radiation': 0.2, 'Reflected radiation': 0.5, 'Sunshine duration': 0.0, 'Diffuse radiation': 7.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.0}
