date,solarAltitude,solarAzimuth,angleOfIncidence,cosineFactor,IAM
21.05.2024 00:00,-8.0848,341.8353,136.6697,-0.7274,0.0000
21.05.2024 00:15,-8.6124,345.3520,137.8393,-0.7413,0.0000
21.05.2024 00:30,-9.0258,348.8881,138.7115,-0.7514,0.0000
21.05.2024 00:45,-9.3261,352.4393,139.2704,-0.7578,0.0000
21.05.2024 01:00,-9.5117,356.0010,139.5032,-0.7604,0.0000
21.05.2024 01:15,-9.5817,359.5682,139.4040,-0.7593,0.0000
21.05.2024 01:30,-9.5356,3.1358,138.9755,-0.7544,0.0000
21.05.2024 01:45,-9.3737,6.6989,138.2277,-0.7458,0.0000
21.05.2024 02:00,-9.0969,10.2524,137.1774,-0.7335,0.0000
21.05.2024 02:15,-8.7066,13.7917,135.8461,-0.7175,0.0000
21.05.2024 02:30,-8.2048,17.3122,134.2586,-0.6979,0.0000
21.05.2024 02:45,-7.5730,20.8102,132.4210,-0.6746,0.0000
21.05.2024 03:00,-6.8139,24.2823,130.3594,-0.6476,0.0000
21.05.2024 03:15,-5.8952,27.7256,128.0666,-0.6166,0.0000
21.05.2024 03:30,-4.6268,31.1382,125.3954,-0.5792,0.0000
21.05.2024 03:45,-2.6488,34.5184,122.0549,-0.5307,0.0000
21.05.2024 04:00,-1.8212,37.8657,119.6855,-0.4952,0.0000
21.05.2024 04:15,-0.9933,41.1800,117.2759,-0.4583,0.0000
21.05.2024 04:30,-0.0075,44.4619,114.7010,-0.4179,0.0000
21.05.2024 04:45,1.1532,47.7127,111.9571,-0.3739,0.0000
21.05.2024 05:00,2.4567,50.9343,109.0799,-0.3269,0.0000
21.05.2024 05:15,3.8689,54.1293,106.1036,-0.2774,0.0000
21.05.2024 05:30,5.3664,57.3007,103.0520,-0.2258,0.0000
21.05.2024 05:45,6.9337,60.4522,99.9400,-0.1726,0.0000
21.05.2024 06:00,8.5603,63.5880,96.7781,-0.1180,0.0000
21.05.2024 06:15,10.2378,66.7125,93.5738,-0.0623,0.0000
21.05.2024 06:30,11.9592,69.8311,90.3328,-0.0058,0.0000
21.05.2024 06:45,13.7182,72.9491,87.0599,0.0513,0.2617
21.05.2024 07:00,15.5096,76.0728,83.7581,0.1087,0.4698
21.05.2024 07:15,17.3257,79.2085,80.4324,0.1662,0.6172
21.05.2024 07:30,19.1620,82.3632,77.0845,0.2235,0.7227
21.05.2024 07:45,21.0129,85.5444,73.7166,0.2804,0.7986
21.05.2024 08:00,22.8725,88.7600,70.3311,0.3366,0.8536
21.05.2024 08:15,24.7348,92.0184,66.9296,0.3919,0.8936
21.05.2024 08:30,26.5938,95.3284,63.5138,0.4460,0.9226
21.05.2024 08:45,28.4430,98.6996,60.0852,0.4987,0.9438
21.05.2024 09:00,30.2758,102.1418,56.6450,0.5498,0.9592
21.05.2024 09:15,32.0849,105.6653,53.1944,0.5991,0.9704
21.05.2024 09:30,33.8628,109.2808,49.7345,0.6463,0.9785
21.05.2024 09:45,35.6016,112.9993,46.2662,0.6913,0.9844
21.05.2024 10:00,37.2925,116.8315,42.7904,0.7338,0.9886
21.05.2024 10:15,38.9263,120.7884,39.3079,0.7738,0.9917
21.05.2024 10:30,40.4932,124.8800,35.8194,0.8109,0.9938
21.05.2024 10:45,41.9828,129.1155,32.3257,0.8450,0.9953
21.05.2024 11:00,43.3840,133.5025,28.8272,0.8761,0.9963
21.05.2024 11:15,44.6853,138.0463,25.3248,0.9039,0.9970
21.05.2024 11:30,45.8749,142.7488,21.8188,0.9284,0.9975
21.05.2024 11:45,46.9408,147.6085,18.3100,0.9494,0.9977
21.05.2024 12:00,47.8712,152.6187,14.7987,0.9668,0.9979
21.05.2024 12:15,48.6549,157.7678,11.2855,0.9807,0.9980
21.05.2024 12:30,49.2819,163.0382,7.7709,0.9908,0.9981
21.05.2024 12:45,49.7435,168.4070,4.2556,0.9972,0.9981
21.05.2024 13:00,50.0330,173.8460,0.7423,0.9999,0.9981
21.05.2024 13:15,50.1461,179.3235,2.7783,0.9988,0.9981
21.05.2024 13:30,50.0811,184.8057,6.2936,0.9940,0.9981
21.05.2024 13:45,49.8389,190.2581,9.8084,0.9854,0.9981
21.05.2024 14:00,49.4232,195.6485,13.3220,0.9731,0.9980
