Time: 2024-05-11 21:00:00, Station: Jokioinen Ilmala, Data: {'Air temperature': 5.8, 'Wind speed': 3.6, 'Gust speed': 5.3, 'Wind direction': 318.0, 'Relative humidity': 58.0, 'Dew-point temperature': -1.9, 'Precipitation amount': 0.0, 'Precipitation intensity': 0.0, 'Snow depth': 0.0, 'Pressure (msl)': 1023.0, 'Horizontal visibility': 50000.0, 'Cloud amount': 0.0, 'Present weather (auto)': 0.0}
Time: 2024-05-11 21:15:00, Station: Jokioinen Ilmala, Data: {'Air temperature': nan, 'Wind speed': nan, 'Gust speed': nan, 'Wind direction': nan, 'Relative humidity': nan, 'Dew-point temperature': nan, 'Precipitation amount': nan, 'Precipitation intensity': nan, 'Snow depth': nan, 'Pressure (msl)': nan, 'Horizontal visibility': nan, 'Cloud amount': nan, 'Present weather (auto)': nan}
Time: 2024-05-11 21:30:00, Station: Jokioinen Ilmala, Data: {'Air temperature': 5.1, 'Wind speed': 3.0, 'Gust speed': 4.3, 'Wind direction': 313.0, 'Relative humidity': 61.0, 'Dew-point temperature': -1.9, 'Precipitation amount': nan, 'Precipitation intensity': 0.0, 'Snow depth': 0.0, 'Pressure (msl)': 1023.2, 'Horizontal visibility': 50000.0, 'Cloud amount': 0.0, 'Present weather (auto)': 0.0}
Time: 2024-05-11 21:45:00, Station: Jokioinen Ilmala, Data: {'Air temperature': nan, 'Wind speed': nan, 'Gust speed': nan, 'Wind direction': nan, 'Relative humidity': nan, 'Dew-point temperature': nan, 'Precipitation amount': nan, 'Precipitation intensity': nan, 'Snow depth': nan, 'Pressure (msl)': nan, 'Horizontal visibility': nan, 'Cloud amount': nan, 'Present weather (auto)': nan}
Time: 2024-05-11 22:00:00, Station: Jokioinen Ilmala, Data: {'Air temperature': 4.5, 'Wind speed': 3.2, 'Gust speed': 4.3, 'Wind direction': 313.0, 'Relative humidity': 62.0, 'Dew-point temperature': -2.1, 'Precipitation amount': 0.0, 'Precipitation intensity': 0.0, 'Snow depth': 0.0, 'Pressure (msl)': 1023.2, 'Horizontal visibility': 50000.0, 'Cloud amount': 0.0, 'Present weather (auto)': 0.0}
Time: 2024-05-11 22:15:00, Station: Jokioinen Ilmala, Data: {'Air temperature': nan, 'Wind speed': nan, 'Gust speed': nan, 'Wind direction': nan, 'Relative humidity': nan, 'Dew-point temperature': nan, 'Precipitation amount': nan, 'Precipitation intensity': nan, 'Snow depth': nan, 'Pressure (msl)': nan, 'Horizontal visibility': nan, 'Cloud amount': nan, 'Present weather (auto)': nan}
Time: 2024-05-11 22:30:00, Station: Jokioinen Ilmala, Data: {'Air temperature': 3.7, 'Wind speed': 2.9, 'Gust speed': 4.3, 'Wind direction': 315.0, 'Relative humidity': 65.0, 'Dew-point temperature': -2.3, 'Precipitation amount': nan, 'Precipitation intensity': 0.0, 'Snow depth': 0.0, 'Pressure (msl)': 1023.5, 'Horizontal visibility': 50000.0, 'Cloud amount': 0.0, 'Present weather (auto)': 0.0}
Time: 2024-05-11 22:45:00, Station: Jokioinen Ilmala, Data: {'Air temperature': nan, 'Wind speed': nan, 'Gust speed': nan, 'Wind direction': nan, 'Relative humidity': nan, 'Dew-point temperature': nan, 'Precipitation amount': nan, 'Precipitation intensity': nan, 'Snow depth': nan, 'Pressure (msl)': nan, 'Horizontal visibility': nan, 'Cloud amount': nan, 'Present weather (auto)': nan}
Time: 2024-05-11 23:00:00, Station: Jokioinen Ilmala, Data: {'Air temperature': 2.6, 'Wind speed': 2.9, 'Gust speed': 3.7, 'Wind direction': 318.0, 'Relative humidity': 71.0, 'Dew-point temperature': -2.1, 'Precipitation amount': 0.0, 'Precipitation intensity': 0.0, 'Snow depth': 0.0, 'Pressure (msl)': 1023.6, 'Horizontal visibility': 50000.0, 'Cloud amount': 0.0, 'Present weather (auto)': 0.0}
Time: 2024-05-11 23:15:00, Station: Jokioinen Ilmala, Data: {'Air temperature': nan, 'Wind speed': nan, 'Gust speed': nan, 'Wind direction': nan, 'Relative humidity': nan, 'Dew-point temperature': nan, 'Precipitation amount': nan, 'Precipitation intensity': nan, 'Snow depth': nan, 'Pressure (msl)': nan, 'Horizontal visibility': nan, 'Cloud amount': nan, 'Present weather (auto)': nan}
Time: 2024-05-11 23:30:00, Station: Jokioinen Ilmala, Data: {'Air temperature': 1.6, 'Wind speed': 2.9, 'Gust speed': 3.7, 'Wind direction': 326.0, 'Relative humidity': 75.0, 'Dew-point temperature': -2.4, 'Precipitation amount': nan, 'Precipitation intensity': 0.0, 'Snow depth': 0.0, 'Pressure (msl)': 1023.7, 'Horizontal visibility': 50000.0, 'Cloud amount': 0.0, 'Present weather (auto)': 0.0}
